町丁名,年度,変化率(%),変化タイプ,変化の大きさ,前年人口,人口増減,原因
小峯４丁目,2006,-80.74534161490683,激減,80.74534161490683,483.0,-390.0,国道57号「熊本東バイパス」6車線化（2006年2月完成）に伴う沿道の用地取得・建替えで居住が大幅に減少
中原町,2015,-83.92523364485982,激減,83.92523364485982,1070.0,-898.0,熊本駅周辺の鉄道高架化・再開発の進行と西熊本駅建設の影響で区画整理・建替えが進み住居が減少
清水万石５丁目,2006,-84.43337484433376,激減,84.43337484433376,803.0,-678.0,清水地区での住居表示・町界再編の影響（周辺の新町新設・境界調整）で町域が縮小し居住が減少
小島上町,2008,-85.05154639175258,激減,85.05154639175258,775.9999999999999,-660.0,第41次住居表示（2008年2月18日）で小島一〜六丁目が新設され、町域から住民が移管 & 住居表示（第41次）で小島一〜九丁目新設に伴う分割 & 住居表示の実施により「小島一丁目〜九丁目」へ町名再編 & 住居表示（小島上・下の丁目化）による再編で一時的に減少
鶴羽田町,2010,-86.39303482587066,激減,86.39303482587066,4019.999999999999,-3473.0,住居表示（平成22年2月22日）で『飛田四丁目（11街区）』等へ編入され町域縮小 & 住居表示で飛田四丁目（11〜21街区）等の新設に伴う再編 & 住居表示（飛田四丁目11街区等の新設進行）に伴う区域再編
海路口町,2006,-88.72502378686966,激減,88.72502378686966,2101.9999999999995,-1865.0,天明地区（現・南区）での住居表示・町界整理の進行に伴い、旧大字から分割・編入が進み急減
画図町大字下江津,2008,-89.77777777777777,激減,89.77777777777777,225.00000000000003,-202.0,住居表示により「下江津三・四丁目」新設と一部の「江津三・四丁目」編入が行われ旧大字が縮小
近見町,2001,-90.16018306636155,激減,90.16018306636155,1311.0,-1182.0,住居表示（平成13年2月26日ほか）で「近見一丁目（14〜21街区等）」等が新設され、近見町からの分割が進行
画図町大字下江津,2005,-90.93556607207864,激減,90.93556607207864,2747.0,-2498.0,住居表示により「下江津一・二丁目」などが新設され旧大字から分離
御領７丁目,1999,-91.1214953271028,大幅減少,91.1214953271028,214.0,-195.0,東部での大規模な住居表示（御領の各丁目新設等）により町域再編・分割が進み住民が周辺新町へ移行
小山町,2004,-91.41075604053,激減,91.41075604053,6415.0,-5864.0,住居表示（第37次：2004年2月23日）で『小山一〜七丁目・神園一・二丁目』新設に伴う町域再編 & 住居表示（第37次）で神園・神園一〜二丁目新設に伴う再編 & 住居表示（神園一丁目ほかの新設）に伴う分割編入で減少
池上町,2006,-91.54055102832751,激減,91.54055102832751,2577.0,-2359.0,平成18年前後の住居表示で「上代一丁目」「上高橋一丁目」など新設、旧町からの分割で大幅減少
御幸西無田町,2000,-93.9203354297694,激減,93.9203354297694,477.0,-448.0,住居表示により「御幸西一〜四丁目」新設、旧町から分割・編入が進んだため
清水町大字松崎,1999,-94.77124183006536,大幅減少,94.77124183006536,153.00000000000003,-145.0,清水地区の住居表示（1999年）で周辺の新町（打越町・高平・室園ほか）へ編入され旧大字が大幅縮小
龍田町弓削,2006,-94.80177993527508,激減,94.80177993527508,4944.0,-4687.0,住居表示（2000/2/28の弓削一丁目新設 等）に伴う残余区域の分割・編入で旧町域が大幅縮小
健軍本町,2007,-95.0,激減,95.0,240.0,-228.0,住居表示（健軍一〜三丁目・東本町 等への再編）と商店街再整備に伴う住所振替・建替えで居住が減少
江津２丁目,2006,-95.01703577512777,激減,95.01703577512777,2348.0,-2231.0,住居表示（2005に下江津一・二丁目、2008に下江津三・四丁目新設）で区域切替が進み計上が他町丁へ移動
徳王町,2009,-95.79918032786884,激減,95.79918032786884,1952.0,-1870.0,住居表示（平成21年2月23日）で「池田三丁目」「徳王一・二丁目」等が新設され分割 & 住居表示実施により徳王一・二丁目を新設（町域再編） & 住居表示（高平・楠周辺の再編）に伴う区域再編
田迎町大字良町,2000,-95.8489820122554,激減,95.8489820122554,5059.0,-4849.0,住居表示（2000/2/28の良町一〜四丁目新設）により旧大字から分割移行
坪井６丁目,2010,-96.03015075376884,激減,96.03015075376884,1990.0,-1911.0,住居表示・町界見直し（黒髪・子飼橋周辺の再編）で区域の大半が黒髪三〜四丁目 等へ編入
島崎７丁目,2001,-96.44076060458312,激減,96.44076060458312,2051.0,-1978.0,住居表示（島崎地区の丁目再編）と花園方面の町界整理に伴い区域が縮小
御幸笛田町,2000,-96.83599419448475,激減,96.83599419448475,6890.0,-6672.0,住居表示（御幸笛田一〜八丁目 等の新設）で旧町から分割・編入が進行
黒髪町大字坪井,2000,-97.53086419753086,激減,97.53086419753086,324.0,-316.0,住居表示（坪井一〜六丁目の再編・黒髪各丁目の新設）により旧大字から分割
長嶺東８丁目,2004,-97.53424657534246,激減,97.53424657534246,1095.0,-1068.0,住居表示（長嶺東・長嶺南の丁目再編）で区域見直しが行われ大半が隣接丁目へ移管
御幸木部町,2000,-97.86392405063292,激減,97.86392405063292,1263.9999999999998,-1237.0,住居表示（2000/2/28）で御幸木部一〜三丁目が成立し、旧町域の大半が移行
画図町大字上無田,2005,-97.88079470198674,激減,97.88079470198674,755.0000000000001,-739.0,住居表示（2005/2/28）で「画図東一・二丁目」新設に伴い旧大字から編入
戸島町,2003,-98.27044025157232,激減,98.27044025157232,11448.0,-11250.0,住居表示（第36次：2003年2月24日）で『戸島・戸島西・戸島本町』新設に伴い分割 & 住居表示（第36次）で戸島西・戸島本町新設に伴う再編 & 住居表示（戸島一〜七丁目・戸島西一〜七丁目の新設）に伴う分割編入で大幅減少
薄場町,2001,-98.30508474576273,激減,98.30508474576273,1947.0,-1914.0,住居表示（平成13年2月26日）で「薄場一〜三丁目」「荒尾一〜三丁目」等を新設し薄場町から大幅に分割
田崎町,1999,-98.4788732394366,激減,98.4788732394366,3550.0000000000005,-3496.0,住居表示の最終整理（1968・1978実施分の反映）で旧「田崎町」計上が田崎本町・田崎一〜三丁目へ移行
石原町,2004,-99.21337266470007,激減,99.21337266470007,1017.0,-1009.0,住居表示（2004/2/3）で石原一〜三丁目を新設、旧「石原町」から分割
清水町大字打越,2002,-99.4752623688156,激減,99.4752623688156,1334.0,-1327.0,住居表示（2000/2/28）で坪井六丁目へ全域編入（打越町・高平等への分割も含む）→2002時点で統計に反映
上南部町,2001,-99.5366079703429,激減,99.5366079703429,2158.0000000000005,-2148.0,住居表示（1999/2/22）で上南部一〜四丁目が成立し旧町域の大半が移行
